nation,group,player_name,position,age,caps,club,league,goals_2024_25,goals_2025_26,assists_2025_26,rating_2526,xg_2526,dribbles_2526,key_passes_2526,accurate_passes_2526,notes
Mexico,A,Guillermo Ochoa,GK,40,150,—,—,0,0,0,,,,,,6th World Cup
Mexico,A,Edson Álvarez,MF,28,85,West Ham,Premier League,,,,,,,,,
Mexico,A,Santiago Giménez,FW,25,40,—,—,,,,,,,,,
Mexico,A,Gilberto Mora,FW,17,5,—,—,0,,,,,,,Youngest player (17y 240d)
South Africa,A,Ronwen Williams,GK,34,50,—,—,0,0,0,,,,,,
South Africa,A,Lyle Foster,FW,25,20,Burnley,—,,,,,,,,,
South Africa,A,Themba Zwane,FW,36,55,—,—,,,,,,,,,
South Korea,A,Son Heung-min,FW,33,130,Tottenham,Premier League,,,,,,,,Captain
South Korea,A,Kim Min-jae,DF,29,70,Bayern Munich,Bundesliga,,,,,,,,,
South Korea,A,Lee Kang-in,MF,25,45,PSG,Ligue 1,,,,,,,,,
Czech Republic,A,Tomáš Souček,MF,31,80,West Ham,Premier League,,,,,,,,Captain
Czech Republic,A,Patrik Schick,FW,30,45,Bayer Leverkusen,Bundesliga,21,10,,6.92,,,,,every 80.3min per goal (24-25)
Czech Republic,A,Vladimír Coufal,DF,33,55,West Ham,Premier League,0,0,,,,,,
Canada,B,Alphonso Davies,DF,25,55,Bayern Munich,Bundesliga,,,,,,,,,
Canada,B,Jonathan David,FW,26,60,Lille,Ligue 1,16,,,,,,,,2024-25 Ligue 1 4th top scorer
Canada,B,Cyle Larin,FW,31,75,—,—,,,,,,,,,
Bosnia-Herzegovina,B,Edin Džeko,FW,40,135,—,—,,,,,,,,,
Bosnia-Herzegovina,B,Ermedin Demirović,FW,28,35,VfB Stuttgart,Bundesliga,15,,,,,,,,,
Bosnia-Herzegovina,B,Sead Kolašinac,DF,32,65,—,—,0,0,,,,,,
Qatar,B,Akram Afif,FW,29,120,Al Sadd,Qatar Stars League,,,,,,,,,
Qatar,B,Almoez Ali,FW,29,115,Al Duhail,Qatar Stars League,,,,,,,,,
Switzerland,B,Granit Xhaka,MF,33,135,Bayer Leverkusen,Bundesliga,,,,,,,,Captain
Switzerland,B,Manuel Akanji,DF,30,75,Manchester City,Premier League,0,0,,,,,,
Switzerland,B,Breel Embolo,FW,29,80,—,—,,,,,,,,,
Switzerland,B,Gregor Kobel,GK,28,25,Borussia Dortmund,Bundesliga,0,0,0,,,,,
Brazil,C,Neymar,FW,34,130,—,—,,,,,,,,Returns to NT; manager Ancelotti
Brazil,C,Vinícius Júnior,FW,25,40,Real Madrid,La Liga,11,16,6,7.50,,87,,,G+A=22; form UP +45%
Brazil,C,Raphinha,FW,29,35,Barcelona,La Liga,18,,,,,,,,2024-25 UCL Golden Boot(13G)
Brazil,C,Gabriel Martinelli,FW,24,20,Arsenal,Premier League,,,,,,,,,6 UCL goals 2025-26
Brazil,C,Alisson,GK,33,75,Liverpool,Premier League,0,0,0,,,,,
Brazil,C,Casemiro,MF,34,85,Manchester United,Premier League,,,,,,7.03 interceptions/g,,,
Morocco,C,Achraf Hakimi,DF,27,85,PSG,Ligue 1,,,,,,,,,
Morocco,C,Brahim Díaz,FW,26,15,Real Madrid,La Liga,,,,,,,,,
Morocco,C,Yassine Bounou,GK,35,75,—,—,0,0,0,,,,,
Haiti,C,Jean-Ricner Bellegarde,MF,27,20,Wolves,Premier League,,,,,,,,,
Haiti,C,Frantzdy Pierrot,FW,31,45,—,—,,,,,,,,,
